"legacyId","slug","title","opportunityType","providerName","countries","regions","studyLevels","benefitSummary","eligibilitySummary","deadline.rawText","deadline.precision","deadline.dates","deadline.cycleYear","deadline.timezone","deadline.isRolling","officialUrl","source.sourceType","source.sourceReference","source.verificationStatus","source.lastCheckedAt","migrationNotes"
"1","daad-scholarships-for-foreign-students","DAAD Scholarships for Foreign Students","scholarship","","Germany","","Bachelor; Master; PhD","Full funding: tuition, €850–934/month stipend, health insurance, and travel allowance.","Bachelor's, Master's, or PhD applicants from any country with a strong academic record in a relevant subject.","Varies by program (October–November for most)","estimated","2026-11-30","2026","","false","https://www.daad.de/en/study-and-research-in-germany/scholarships/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-1","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines."
"2","helmholtz-research-school-fellowships","Helmholtz Research School Fellowships","scholarship","","Germany","","PhD","Fully funded PhD: salary, research budget, and travel grants.","PhD applicants in STEM, environmental sciences, or health research.","Rolling / program-specific","rolling","","","","true","https://www.helmholtz.de/en/career/doctoral-researchers/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-2","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is rolling; no fixed deadline date was present."
"3","friedrich-ebert-stiftung-scholarship","Friedrich Ebert Stiftung Scholarship","scholarship","","Germany","","Bachelor; Master; PhD","€830/month plus travel and study allowances.","Undergraduate or postgraduate applicants with good academics and social commitment.","March 15 and September 15 annually","exact","2026-03-15; 2026-09-15","2026","","false","https://www.fes.de/en/foundation/foerderung/studienfoerderung/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-3","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"4","konrad-adenauer-stiftung-scholarship","Konrad Adenauer Stiftung Scholarship","scholarship","","Germany","","Master; PhD","€830/month plus a full benefits package.","Master's or PhD applicants with strong civic engagement and good academic standing.","January 15 and July 15","exact","2026-01-15; 2026-07-15","2026","","false","https://www.kas.de/en/web/begabtenfoerderung-und-kultur/students","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-4","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"5","heinrich-boll-stiftung-scholarship","Heinrich Böll Stiftung Scholarship","scholarship","","Germany","","Bachelor; Master; PhD","€830/month plus a family supplement.","International students committed to democracy, human rights, and sustainability.","March 1 and September 1","exact","2026-03-01; 2026-09-01","2026","","false","https://www.boell.de/en/scholarship-program","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-5","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"6","alexander-von-humboldt-research-fellowship","Alexander von Humboldt Research Fellowship","scholarship","","Germany","","Postdoc; Research","€2,670–3,170/month for postdoctoral researchers and fully funded research stays.","Postdoctoral researchers worldwide who completed a PhD within the last 12 years.","Apply anytime; reviewed three times per year","rolling","","","","true","https://www.humboldt-foundation.de/en/apply/sponsorship-programmes/humboldt-research-fellowship","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-6","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is rolling; no fixed deadline date was present."
"7","daad-study-scholarships-master-s","DAAD Study Scholarships – Master's","scholarship","","Germany","","Master","Tuition, living stipend, and health insurance.","Outstanding graduates seeking a Master's degree in Germany.","November 15","exact","2026-11-15","2026","","false","https://www.daad.de/en/study-and-research-in-germany/scholarships/daad-scholarships/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-7","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"8","bavaria-wide-free-tuition-public-universities","Bavaria-Wide Free Tuition (Public Universities)","scholarship","","Germany","","Bachelor; Master","No tuition fees at selected Bavarian public-university programs.","International students; language requirements vary by program.","April–July application window","estimated","2026-07-31","2026","","false","https://www.studieren-in-bayern.de/en/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-8","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines."
"9","holland-scholarship","Holland Scholarship","scholarship","","Netherlands","","Bachelor; Master","€5,000 one-time grant.","Non-EEA students applying to a Dutch Bachelor's or Master's program.","February 1 for most universities","estimated","2026-02-01","2026","","false","https://www.studyinholland.nl/scholarships/holland-scholarship","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-9","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines."
"10","erasmus-university-rotterdam-excellence-scholarship","Erasmus University Rotterdam Excellence Scholarship","scholarship","","Netherlands","","Master","€15,000 or a full tuition waiver.","Outstanding international Master's students; merit-based.","January 1–February 1","estimated","2026-02-01","2026","","false","https://www.eur.nl/en/education/scholarships/rotterdam-excellence-scholarship","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-10","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines."
